Capital,Word,Numeric,Special,FullPassword
A,cafe,2,!,Acafe2!
A,cafe,2019,!,Acafe2019!
A,bingo,2,@,Abingo2@
A,ninja,2019,@,Aninja2019@
T,hackerman,2,*,Thackerman2*
A,ninja,10,*,Aninja10*
T,leet,1,!,Tleet1!
A,bingo,2019,$,Abingo2019$
E,leet,777,!,Eleet777!
A,ninja,123,_,Aninja123_
E,hackerman,10,!,Ehackerman10!
P,hyper,2018,!,Phyper2018!
T,leet,2019,!,Tleet2019!
E,babe,1234,%,Ebabe1234%
T,leet,101,!,Tleet101!
A,bingo,1,_,Abingo1_
T,hackerman,111,$,Thackerman111$
T,bingo,2019,*,Tbingo2019*
T,pass,2019,%,Tpass2019%
P,ninja,2018,%,Pninja2018%
T,hyper,111,!,Thyper111!
A,hackerman,1,*,Ahackerman1*
A,babe,101,*,Ababe101*
A,hyper,10,!,Ahyper10!
A,babe,2019,@,Ababe2019@
P,cafe,123,$,Pcafe123$
T,bingo,2018,%,Tbingo2018%
E,babe,2019,!,Ebabe2019!
A,ninja,1234,!,Aninja1234!
A,hackerman,10,!,Ahackerman10!
A,hyper,1234,!,Ahyper1234!
T,hyper,1,!,Thyper1!
P,ninja,111,$,Pninja111$
T,bingo,10,$,Tbingo10$
T,hackerman,1234,!,Thackerman1234!
P,leet,2018,$,Pleet2018$
P,babe,10,%,Pbabe10%
E,leet,2019,%,Eleet2019%
P,bingo,1234,$,Pbingo1234$
T,cafe,2019,!,Tcafe2019!
E,ninja,000,!,Eninja000!
A,bingo,777,%,Abingo777%
E,ninja,10,!,Eninja10!
A,hyper,2019,*,Ahyper2019*
A,leet,777,!,Aleet777!
E,babe,2019,!,Ebabe2019!
T,ninja,000,*,Tninja000*
T,babe,2019,$,Tbabe2019$
E,hackerman,111,@,Ehackerman111@
T,hyper,10,$,Thyper10$
T,hyper,101,!,Thyper101!
A,bingo,123,!,Abingo123!
T,bingo,2019,%,Tbingo2019%
A,hyper,1234,!,Ahyper1234!
T,leet,10,!,Tleet10!
A,leet,101,!,Aleet101!
P,hyper,1234,$,Phyper1234$
P,hackerman,2019,$,Phackerman2019$
A,babe,2019,%,Ababe2019%
A,hackerman,1,*,Ahackerman1*
A,ninja,2018,!,Aninja2018!
T,leet,2018,!,Tleet2018!
E,bingo,123,*,Ebingo123*
P,ninja,777,%,Pninja777%
T,bingo,777,$,Tbingo777$
E,babe,2019,_,Ebabe2019_
A,pass,123,*,Apass123*
A,hackerman,111,@,Ahackerman111@
A,bingo,123,!,Abingo123!
E,babe,2019,*,Ebabe2019*
A,ninja,1234,!,Aninja1234!
P,cafe,123,!,Pcafe123!
A,leet,2019,_,Aleet2019_
E,bingo,10,!,Ebingo10!
T,ninja,1,*,Tninja1*
A,leet,10,@,Aleet10@
E,hackerman,101,@,Ehackerman101@
P,hackerman,101,_,Phackerman101_
A,hackerman,101,*,Ahackerman101*
A,bingo,1,$,Abingo1$
T,ninja,000,*,Tninja000*
P,ninja,777,@,Pninja777@
A,ninja,777,!,Aninja777!
E,bingo,101,!,Ebingo101!
P,babe,111,!,Pbabe111!
T,leet,1234,%,Tleet1234%
T,bingo,123,%,Tbingo123%
A,leet,111,*,Aleet111*
E,hackerman,777,@,Ehackerman777@
P,babe,10,!,Pbabe10!
T,ninja,777,!,Tninja777!
P,ninja,2019,!,Pninja2019!
E,ninja,2019,%,Eninja2019%
E,leet,101,!,Eleet101!
E,leet,777,@,Eleet777@
A,leet,2019,!,Aleet2019!
T,leet,2018,!,Tleet2018!
P,ninja,10,_,Pninja10_
A,ninja,2,_,Aninja2_
A,leet,101,$,Aleet101$
A,leet,10,!,Aleet10!
P,ninja,10,!,Pninja10!
A,ninja,2018,_,Aninja2018_
E,hyper,000,!,Ehyper000!
A,bingo,2018,%,Abingo2018%
A,cafe,10,!,Acafe10!
A,leet,000,$,Aleet000$
A,babe,10,@,Ababe10@
A,cafe,000,!,Acafe000!
P,babe,2019,%,Pbabe2019%
P,cafe,777,%,Pcafe777%
T,hyper,101,!,Thyper101!
A,bingo,2019,@,Abingo2019@
P,cafe,123,!,Pcafe123!
A,hackerman,2019,@,Ahackerman2019@
T,hyper,777,%,Thyper777%
T,ninja,2019,%,Tninja2019%
P,bingo,101,!,Pbingo101!
T,leet,111,$,Tleet111$
E,leet,10,$,Eleet10$
A,bingo,2019,*,Abingo2019*
P,cafe,10,*,Pcafe10*
P,leet,2018,%,Pleet2018%
T,leet,777,%,Tleet777%
P,pass,1,*,Ppass1*
A,bingo,111,%,Abingo111%
A,hackerman,2018,!,Ahackerman2018!
P,ninja,2,*,Pninja2*
P,bingo,111,!,Pbingo111!
A,bingo,123,*,Abingo123*
E,babe,10,!,Ebabe10!
A,hackerman,2019,_,Ahackerman2019_
E,bingo,123,!,Ebingo123!
P,leet,2018,!,Pleet2018!
T,bingo,2019,@,Tbingo2019@
P,babe,2019,!,Pbabe2019!
A,hackerman,2019,!,Ahackerman2019!
A,bingo,2019,*,Abingo2019*
E,bingo,1234,_,Ebingo1234_
A,leet,123,!,Aleet123!
P,leet,2019,*,Pleet2019*
A,leet,777,!,Aleet777!
E,leet,10,!,Eleet10!
T,hyper,123,_,Thyper123_
P,leet,111,@,Pleet111@
A,ninja,111,_,Aninja111_
A,hyper,2019,$,Ahyper2019$
A,pass,2019,!,Apass2019!
P,bingo,101,!,Pbingo101!
P,cafe,101,*,Pcafe101*
T,bingo,000,!,Tbingo000!
E,bingo,111,%,Ebingo111%
T,babe,2,*,Tbabe2*
A,cafe,777,!,Acafe777!
T,hackerman,2019,!,Thackerman2019!
A,cafe,123,!,Acafe123!
P,cafe,101,!,Pcafe101!
E,babe,111,!,Ebabe111!
A,ninja,777,%,Aninja777%
E,ninja,2,$,Eninja2$
A,bingo,123,%,Abingo123%
A,bingo,000,!,Abingo000!
T,bingo,1234,!,Tbingo1234!
A,bingo,123,%,Abingo123%
E,hyper,2019,@,Ehyper2019@
T,hyper,777,!,Thyper777!
P,cafe,2018,!,Pcafe2018!
E,leet,000,!,Eleet000!
T,bingo,777,!,Tbingo777!
T,pass,123,$,Tpass123$
A,babe,10,!,Ababe10!
A,leet,1234,!,Aleet1234!
A,ninja,1234,%,Aninja1234%
A,hackerman,123,!,Ahackerman123!
A,babe,10,*,Ababe10*
A,pass,2019,!,Apass2019!
P,pass,2,!,Ppass2!
T,bingo,2,!,Tbingo2!
A,babe,777,!,Ababe777!
A,hyper,101,*,Ahyper101*
P,leet,2019,!,Pleet2019!
A,ninja,2019,%,Aninja2019%
E,ninja,111,*,Eninja111*
A,bingo,101,!,Abingo101!
A,leet,2018,%,Aleet2018%
E,hackerman,2018,*,Ehackerman2018*
A,bingo,1234,$,Abingo1234$
A,hackerman,1234,!,Ahackerman1234!
T,hackerman,123,!,Thackerman123!
T,hyper,10,!,Thyper10!
T,pass,111,*,Tpass111*
A,ninja,2019,!,Aninja2019!
A,bingo,10,$,Abingo10$
T,leet,111,@,Tleet111@
T,leet,101,%,Tleet101%
A,ninja,2019,%,Aninja2019%
T,hyper,123,@,Thyper123@
A,bingo,2018,%,Abingo2018%
A,leet,111,$,Aleet111$
A,babe,2019,%,Ababe2019%
E,ninja,2018,!,Eninja2018!
A,babe,1234,!,Ababe1234!
T,hackerman,2018,!,Thackerman2018!
E,bingo,1234,%,Ebingo1234%
T,hackerman,777,$,Thackerman777$
P,ninja,123,*,Pninja123*
A,ninja,2019,_,Aninja2019_
P,babe,2019,@,Pbabe2019@
T,ninja,111,@,Tninja111@
P,bingo,2019,*,Pbingo2019*
P,babe,1234,@,Pbabe1234@
A,hyper,101,!,Ahyper101!
E,ninja,10,@,Eninja10@
E,pass,101,*,Epass101*
T,hyper,2019,*,Thyper2019*
P,hyper,2019,%,Phyper2019%
P,bingo,101,%,Pbingo101%
T,pass,10,*,Tpass10*
P,cafe,777,_,Pcafe777_
E,ninja,2018,!,Eninja2018!
A,leet,10,_,Aleet10_
P,babe,2018,$,Pbabe2018$
A,pass,2018,!,Apass2018!
P,bingo,101,!,Pbingo101!
T,hyper,2018,!,Thyper2018!
T,pass,10,!,Tpass10!
A,babe,777,@,Ababe777@
A,babe,2019,@,Ababe2019@
T,hackerman,123,%,Thackerman123%
E,babe,1,@,Ebabe1@
T,babe,10,$,Tbabe10$
T,pass,1234,!,Tpass1234!
A,ninja,2019,!,Aninja2019!
T,leet,777,!,Tleet777!
P,bingo,123,!,Pbingo123!
E,bingo,2018,*,Ebingo2018*
A,leet,123,!,Aleet123!
E,hyper,2018,*,Ehyper2018*
T,bingo,123,!,Tbingo123!
P,babe,10,$,Pbabe10$
T,ninja,2019,!,Tninja2019!
A,hyper,000,*,Ahyper000*
A,bingo,123,_,Abingo123_
E,bingo,123,@,Ebingo123@
A,leet,1234,!,Aleet1234!
A,hackerman,123,$,Ahackerman123$
T,babe,10,%,Tbabe10%
P,cafe,2,!,Pcafe2!
A,bingo,2019,!,Abingo2019!
P,ninja,000,!,Pninja000!
A,babe,101,*,Ababe101*
P,ninja,101,!,Pninja101!
A,hyper,777,!,Ahyper777!
T,babe,123,$,Tbabe123$
P,ninja,1,$,Pninja1$
T,bingo,1234,!,Tbingo1234!
P,leet,777,!,Pleet777!
A,leet,123,!,Aleet123!
T,leet,10,*,Tleet10*
T,leet,2019,*,Tleet2019*
T,babe,101,*,Tbabe101*
A,babe,10,!,Ababe10!
P,leet,777,!,Pleet777!
P,bingo,123,$,Pbingo123$
T,bingo,101,*,Tbingo101*
A,ninja,2018,*,Aninja2018*
T,babe,000,_,Tbabe000_
A,pass,777,!,Apass777!
A,leet,101,!,Aleet101!
A,hyper,2019,!,Ahyper2019!
A,babe,1234,!,Ababe1234!
A,bingo,123,@,Abingo123@
A,bingo,1234,@,Abingo1234@
A,babe,111,$,Ababe111$
P,ninja,123,!,Pninja123!
A,leet,10,*,Aleet10*
P,hackerman,777,$,Phackerman777$
P,babe,123,$,Pbabe123$
A,babe,123,$,Ababe123$
E,leet,2,$,Eleet2$
P,hyper,101,!,Phyper101!
P,bingo,1234,*,Pbingo1234*
E,cafe,2019,%,Ecafe2019%
T,pass,1234,%,Tpass1234%
P,hyper,111,$,Phyper111$
A,babe,2019,!,Ababe2019!
E,ninja,777,_,Eninja777_
P,cafe,1,!,Pcafe1!
A,cafe,111,$,Acafe111$
A,bingo,123,$,Abingo123$
T,babe,10,!,Tbabe10!
A,leet,123,%,Aleet123%
A,bingo,1,!,Abingo1!
T,leet,101,%,Tleet101%
A,leet,2019,!,Aleet2019!
A,ninja,101,$,Aninja101$
A,ninja,2018,!,Aninja2018!
P,ninja,2018,_,Pninja2018_
P,babe,111,$,Pbabe111$
E,cafe,2018,$,Ecafe2018$
A,bingo,2019,_,Abingo2019_
T,babe,123,!,Tbabe123!
E,leet,2019,!,Eleet2019!
A,bingo,101,!,Abingo101!
A,hackerman,000,!,Ahackerman000!
T,leet,2019,%,Tleet2019%
T,hyper,2018,$,Thyper2018$
P,hackerman,2018,!,Phackerman2018!
T,cafe,1234,$,Tcafe1234$
A,cafe,101,*,Acafe101*
A,babe,10,*,Ababe10*
T,bingo,123,!,Tbingo123!
T,hyper,101,$,Thyper101$
E,pass,2019,*,Epass2019*
A,leet,2018,*,Aleet2018*
T,babe,2018,%,Tbabe2018%
T,cafe,10,*,Tcafe10*
E,babe,10,!,Ebabe10!
A,cafe,1,$,Acafe1$
T,bingo,2019,!,Tbingo2019!
A,leet,777,_,Aleet777_
E,hackerman,2018,@,Ehackerman2018@
A,leet,123,!,Aleet123!
P,bingo,101,%,Pbingo101%
A,hyper,777,!,Ahyper777!
A,ninja,1234,!,Aninja1234!
P,babe,1234,_,Pbabe1234_
P,ninja,2018,%,Pninja2018%
E,babe,111,*,Ebabe111*
T,leet,2018,!,Tleet2018!
A,leet,2019,@,Aleet2019@
A,bingo,2019,!,Abingo2019!
T,hackerman,2019,$,Thackerman2019$
T,leet,1,*,Tleet1*
A,cafe,101,!,Acafe101!
T,hackerman,1234,$,Thackerman1234$
E,leet,2018,!,Eleet2018!
P,cafe,1,%,Pcafe1%
A,babe,123,%,Ababe123%
A,babe,2018,!,Ababe2018!
P,leet,2018,!,Pleet2018!
A,cafe,101,*,Acafe101*
A,ninja,2019,!,Aninja2019!
T,leet,10,!,Tleet10!
A,bingo,111,$,Abingo111$
E,leet,2018,%,Eleet2018%
A,babe,10,!,Ababe10!
A,hackerman,111,!,Ahackerman111!
A,ninja,123,!,Aninja123!
P,babe,2018,$,Pbabe2018$
P,ninja,10,%,Pninja10%
E,ninja,2,*,Eninja2*
E,leet,777,!,Eleet777!
E,hackerman,2018,*,Ehackerman2018*
E,ninja,2019,_,Eninja2019_
T,babe,10,_,Tbabe10_
P,ninja,777,*,Pninja777*
E,bingo,123,$,Ebingo123$
A,hyper,777,*,Ahyper777*
A,hyper,1,%,Ahyper1%
E,hackerman,2019,!,Ehackerman2019!
T,babe,111,!,Tbabe111!
T,bingo,777,!,Tbingo777!
A,bingo,777,*,Abingo777*
A,bingo,101,$,Abingo101$
E,bingo,1234,_,Ebingo1234_
P,babe,2019,!,Pbabe2019!
A,leet,2019,!,Aleet2019!
T,babe,2,*,Tbabe2*
P,ninja,123,*,Pninja123*
A,ninja,2019,!,Aninja2019!
A,pass,2019,*,Apass2019*
P,leet,2019,*,Pleet2019*
T,ninja,101,*,Tninja101*
A,hackerman,2018,*,Ahackerman2018*
A,ninja,2018,!,Aninja2018!
P,bingo,101,$,Pbingo101$
E,hackerman,2019,!,Ehackerman2019!
T,bingo,2019,*,Tbingo2019*
P,hackerman,777,@,Phackerman777@
A,ninja,123,!,Aninja123!
E,leet,123,@,Eleet123@
P,hyper,10,*,Phyper10*
A,pass,1234,!,Apass1234!
A,leet,10,!,Aleet10!
T,cafe,2018,!,Tcafe2018!
A,pass,123,*,Apass123*
A,leet,1234,!,Aleet1234!
T,bingo,2019,!,Tbingo2019!
T,pass,123,_,Tpass123_
A,babe,101,*,Ababe101*
A,babe,1234,@,Ababe1234@
A,ninja,123,$,Aninja123$
P,hyper,101,!,Phyper101!
P,pass,123,!,Ppass123!
E,bingo,777,$,Ebingo777$
E,babe,2019,!,Ebabe2019!
T,babe,777,$,Tbabe777$
A,hackerman,101,_,Ahackerman101_
P,babe,2018,*,Pbabe2018*
E,pass,2019,!,Epass2019!
E,ninja,111,!,Eninja111!
A,hackerman,123,@,Ahackerman123@
A,ninja,777,*,Aninja777*
A,bingo,777,!,Abingo777!
E,ninja,1,*,Eninja1*
P,babe,2019,@,Pbabe2019@
A,cafe,2,$,Acafe2$
T,bingo,123,$,Tbingo123$
T,hyper,123,!,Thyper123!
A,ninja,2018,$,Aninja2018$
P,babe,1234,!,Pbabe1234!
P,babe,2018,!,Pbabe2018!
A,ninja,111,%,Aninja111%
E,babe,123,!,Ebabe123!
A,hackerman,123,!,Ahackerman123!
A,hyper,2018,$,Ahyper2018$
E,hyper,111,*,Ehyper111*
T,babe,777,%,Tbabe777%
E,ninja,123,%,Eninja123%
P,ninja,1,*,Pninja1*
T,leet,2019,!,Tleet2019!
P,cafe,777,@,Pcafe777@
E,hackerman,1,!,Ehackerman1!
A,leet,777,_,Aleet777_
E,hackerman,2019,$,Ehackerman2019$
T,hackerman,2019,!,Thackerman2019!
P,hyper,101,*,Phyper101*
P,hyper,123,*,Phyper123*
T,bingo,777,!,Tbingo777!
A,leet,1,%,Aleet1%
A,leet,123,!,Aleet123!
A,leet,123,*,Aleet123*
A,hyper,123,*,Ahyper123*
T,babe,2019,!,Tbabe2019!
T,leet,123,!,Tleet123!
A,babe,2018,%,Ababe2018%
E,babe,000,$,Ebabe000$
A,pass,2019,*,Apass2019*
A,babe,2018,$,Ababe2018$
P,bingo,777,_,Pbingo777_
A,babe,1234,!,Ababe1234!
P,ninja,2019,$,Pninja2019$
P,cafe,1,!,Pcafe1!
A,babe,2018,*,Ababe2018*
A,babe,2,%,Ababe2%
A,leet,2019,@,Aleet2019@
P,ninja,2019,*,Pninja2019*
T,ninja,111,!,Tninja111!
T,bingo,1,@,Tbingo1@
E,leet,1234,$,Eleet1234$
A,bingo,101,!,Abingo101!
T,hyper,2019,*,Thyper2019*
A,ninja,2018,$,Aninja2018$
E,leet,1234,$,Eleet1234$
A,leet,10,!,Aleet10!
T,leet,2018,!,Tleet2018!
E,babe,2019,*,Ebabe2019*
A,babe,777,*,Ababe777*
P,pass,123,!,Ppass123!
A,ninja,2019,!,Aninja2019!
A,bingo,10,!,Abingo10!
A,babe,777,!,Ababe777!
A,pass,2019,@,Apass2019@
P,hackerman,123,!,Phackerman123!
T,babe,2019,!,Tbabe2019!
A,bingo,2,@,Abingo2@
A,hackerman,2019,%,Ahackerman2019%
T,bingo,101,*,Tbingo101*
P,leet,777,!,Pleet777!
T,bingo,123,@,Tbingo123@
E,leet,2,!,Eleet2!
P,hyper,10,!,Phyper10!
P,leet,000,%,Pleet000%
E,cafe,1234,@,Ecafe1234@
P,ninja,1234,!,Pninja1234!
E,ninja,000,*,Eninja000*
E,ninja,2019,!,Eninja2019!
P,cafe,2019,$,Pcafe2019$
A,bingo,123,!,Abingo123!
P,babe,777,%,Pbabe777%
A,babe,777,*,Ababe777*
A,leet,123,$,Aleet123$
E,babe,2019,!,Ebabe2019!
P,leet,123,$,Pleet123$
E,leet,1234,$,Eleet1234$
A,ninja,2019,*,Aninja2019*
A,babe,2019,!,Ababe2019!
A,ninja,1234,!,Aninja1234!
A,babe,2019,*,Ababe2019*
T,pass,2019,_,Tpass2019_
A,ninja,2019,%,Aninja2019%
P,bingo,1234,%,Pbingo1234%
A,cafe,1,!,Acafe1!
A,pass,10,!,Apass10!
P,bingo,2018,*,Pbingo2018*
T,leet,1234,%,Tleet1234%
A,pass,1,!,Apass1!
A,hyper,000,*,Ahyper000*
A,leet,111,!,Aleet111!
A,hyper,1,@,Ahyper1@
A,leet,2019,@,Aleet2019@
A,babe,123,!,Ababe123!
P,bingo,2019,!,Pbingo2019!
E,hyper,2019,%,Ehyper2019%
T,leet,10,!,Tleet10!
A,pass,2018,$,Apass2018$
T,bingo,000,!,Tbingo000!
T,leet,123,!,Tleet123!
A,ninja,2018,!,Aninja2018!
P,hackerman,123,!,Phackerman123!
A,hackerman,10,*,Ahackerman10*
P,hyper,2019,*,Phyper2019*
A,babe,101,!,Ababe101!
A,ninja,2019,*,Aninja2019*
A,babe,2019,_,Ababe2019_
P,ninja,2019,!,Pninja2019!
T,hyper,777,%,Thyper777%
A,hackerman,123,!,Ahackerman123!
A,bingo,000,*,Abingo000*
A,babe,2018,!,Ababe2018!
E,babe,10,!,Ebabe10!
A,ninja,123,*,Aninja123*
A,ninja,101,_,Aninja101_
A,babe,10,$,Ababe10$
P,hyper,1234,$,Phyper1234$
T,hyper,123,@,Thyper123@
A,ninja,2019,$,Aninja2019$
A,babe,2019,@,Ababe2019@
A,leet,2019,$,Aleet2019$
P,leet,777,*,Pleet777*
T,bingo,10,!,Tbingo10!
P,bingo,10,@,Pbingo10@
A,leet,2,$,Aleet2$
P,hackerman,123,*,Phackerman123*
A,leet,123,!,Aleet123!
E,babe,1234,*,Ebabe1234*
A,hackerman,101,*,Ahackerman101*
E,ninja,10,%,Eninja10%
P,bingo,1,@,Pbingo1@
A,bingo,123,!,Abingo123!
A,bingo,2019,!,Abingo2019!
A,babe,123,$,Ababe123$
A,babe,1,!,Ababe1!
T,bingo,1234,!,Tbingo1234!
A,leet,10,%,Aleet10%
P,pass,123,_,Ppass123_
T,bingo,2018,%,Tbingo2018%
P,hackerman,123,*,Phackerman123*
A,babe,2019,@,Ababe2019@
T,bingo,2019,_,Tbingo2019_
A,pass,777,%,Apass777%
A,babe,101,$,Ababe101$
A,pass,123,%,Apass123%
A,hackerman,777,*,Ahackerman777*
A,babe,1,$,Ababe1$
A,babe,2019,@,Ababe2019@
E,babe,2019,*,Ebabe2019*
E,bingo,2019,!,Ebingo2019!
A,hackerman,2019,!,Ahackerman2019!
P,leet,2018,*,Pleet2018*
P,leet,2019,$,Pleet2019$
A,leet,2019,!,Aleet2019!
E,cafe,123,!,Ecafe123!
E,leet,101,%,Eleet101%
A,ninja,10,!,Aninja10!
T,cafe,123,$,Tcafe123$
A,leet,123,$,Aleet123$
E,hackerman,10,_,Ehackerman10_
A,ninja,1234,%,Aninja1234%
A,hyper,777,$,Ahyper777$
E,leet,777,%,Eleet777%
A,ninja,123,%,Aninja123%
T,leet,10,@,Tleet10@
A,bingo,2019,!,Abingo2019!
A,bingo,111,@,Abingo111@
P,hyper,123,!,Phyper123!
A,ninja,2019,@,Aninja2019@
P,babe,123,*,Pbabe123*
A,leet,2019,!,Aleet2019!
P,hackerman,2019,@,Phackerman2019@
P,bingo,2018,*,Pbingo2018*
A,babe,2019,%,Ababe2019%
A,cafe,1234,!,Acafe1234!
P,hyper,1234,*,Phyper1234*
T,babe,123,*,Tbabe123*
E,leet,2019,%,Eleet2019%
A,babe,111,!,Ababe111!
A,pass,101,@,Apass101@
A,babe,10,*,Ababe10*
A,bingo,2019,*,Abingo2019*
P,pass,123,!,Ppass123!
T,leet,2,!,Tleet2!
A,ninja,10,!,Aninja10!
E,ninja,111,*,Eninja111*
P,babe,2018,!,Pbabe2018!
A,bingo,123,$,Abingo123$
E,hackerman,777,*,Ehackerman777*
A,ninja,2,$,Aninja2$
E,hyper,123,$,Ehyper123$
P,ninja,101,$,Pninja101$
A,leet,2019,!,Aleet2019!
E,leet,10,_,Eleet10_
P,ninja,2018,@,Pninja2018@
T,babe,2019,*,Tbabe2019*
T,leet,2019,*,Tleet2019*
E,leet,10,!,Eleet10!
A,bingo,2019,!,Abingo2019!
E,leet,101,%,Eleet101%
P,ninja,1234,%,Pninja1234%
P,hackerman,123,@,Phackerman123@
T,ninja,123,_,Tninja123_
E,hackerman,777,$,Ehackerman777$
T,pass,2018,!,Tpass2018!
A,ninja,111,$,Aninja111$
A,bingo,10,!,Abingo10!
T,ninja,111,%,Tninja111%
T,babe,123,!,Tbabe123!
E,babe,1,*,Ebabe1*
A,leet,123,!,Aleet123!
P,cafe,111,*,Pcafe111*
E,ninja,123,*,Eninja123*
A,ninja,2,!,Aninja2!
P,bingo,111,@,Pbingo111@
E,cafe,111,@,Ecafe111@
P,babe,111,!,Pbabe111!
T,cafe,777,!,Tcafe777!
P,hyper,123,*,Phyper123*
A,hackerman,1,*,Ahackerman1*
A,leet,777,*,Aleet777*
E,leet,1,!,Eleet1!
T,ninja,2019,!,Tninja2019!
A,babe,2,*,Ababe2*
P,ninja,123,*,Pninja123*
T,hackerman,2018,%,Thackerman2018%
T,bingo,2019,_,Tbingo2019_
P,leet,2019,*,Pleet2019*
P,bingo,2019,$,Pbingo2019$
P,pass,2019,@,Ppass2019@
E,bingo,2019,@,Ebingo2019@
T,ninja,101,!,Tninja101!
A,cafe,123,!,Acafe123!
E,pass,2019,!,Epass2019!
P,babe,1,!,Pbabe1!
A,pass,2019,!,Apass2019!
A,pass,1234,!,Apass1234!
P,ninja,1234,*,Pninja1234*
T,bingo,000,_,Tbingo000_
T,ninja,10,@,Tninja10@
T,babe,1234,@,Tbabe1234@
A,leet,101,$,Aleet101$
E,hyper,2019,@,Ehyper2019@
A,pass,111,$,Apass111$
P,bingo,123,!,Pbingo123!
A,leet,2019,_,Aleet2019_
A,hyper,2018,*,Ahyper2018*
A,ninja,10,_,Aninja10_
A,babe,2018,_,Ababe2018_
E,hackerman,2018,_,Ehackerman2018_
P,ninja,1,$,Pninja1$
P,cafe,2018,@,Pcafe2018@
T,babe,123,$,Tbabe123$
E,hyper,2019,*,Ehyper2019*
A,hackerman,1234,$,Ahackerman1234$
E,babe,101,%,Ebabe101%
P,leet,2018,*,Pleet2018*
T,leet,2019,*,Tleet2019*
A,babe,777,!,Ababe777!
E,hyper,1234,*,Ehyper1234*
E,leet,1234,$,Eleet1234$
A,babe,2019,!,Ababe2019!
T,bingo,111,_,Tbingo111_
T,cafe,111,$,Tcafe111$
P,pass,1234,$,Ppass1234$
A,hackerman,777,@,Ahackerman777@
E,leet,2019,!,Eleet2019!
A,pass,2018,*,Apass2018*
P,babe,101,*,Pbabe101*
E,babe,1234,*,Ebabe1234*
T,bingo,2018,$,Tbingo2018$
A,leet,2019,@,Aleet2019@
E,leet,2018,%,Eleet2018%
A,bingo,2019,*,Abingo2019*
P,leet,2019,!,Pleet2019!
T,hackerman,2018,_,Thackerman2018_
P,ninja,111,*,Pninja111*
A,pass,2018,%,Apass2018%
T,leet,1234,@,Tleet1234@
E,ninja,101,!,Eninja101!
T,bingo,1234,%,Tbingo1234%
T,ninja,777,$,Tninja777$
A,babe,777,*,Ababe777*
A,ninja,2019,%,Aninja2019%
A,hyper,123,@,Ahyper123@
T,ninja,777,*,Tninja777*
A,ninja,777,*,Aninja777*
A,hackerman,111,%,Ahackerman111%
E,bingo,123,*,Ebingo123*
T,bingo,123,_,Tbingo123_
E,leet,123,!,Eleet123!
A,hackerman,1234,%,Ahackerman1234%
P,bingo,2019,_,Pbingo2019_
E,hackerman,123,!,Ehackerman123!
A,hackerman,2019,!,Ahackerman2019!
E,leet,123,!,Eleet123!
A,bingo,10,$,Abingo10$
T,cafe,2019,*,Tcafe2019*
E,babe,777,!,Ebabe777!
T,leet,1,%,Tleet1%
A,ninja,000,!,Aninja000!
A,babe,000,!,Ababe000!
T,pass,000,!,Tpass000!
E,hyper,2,@,Ehyper2@
E,hyper,123,*,Ehyper123*
P,babe,2019,!,Pbabe2019!
A,hyper,101,!,Ahyper101!
T,hackerman,000,$,Thackerman000$
E,bingo,1234,%,Ebingo1234%
P,leet,1234,@,Pleet1234@
E,bingo,1234,!,Ebingo1234!
T,babe,101,_,Tbabe101_
T,cafe,1,_,Tcafe1_
E,cafe,10,!,Ecafe10!
A,bingo,101,_,Abingo101_
T,hackerman,2018,_,Thackerman2018_
